"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
4710435.4870359,10.5412254952826,12.6402112571523,11.6259925379418,8.47405690373853,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0
1302879.16939531,12.659539779881,10.7961578646209,11.2745396068785,12.4975157589652,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1
2839170.51629239,12.8178906030953,6.10848775669001,10.9597556295339,11.8024162682705,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
1951243.65806821,11.3533679828979,12.6994350394234,9.38825529697351,12.5117152146995,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
1666008.57655933,9.32366821728647,10.2160979621112,7.37220713798888,11.4582780441269,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0
1054576.73564699,6.33703712234274,8.8777351740282,6.13670806004666,8.55388077371754,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0
3830271.2304002,12.0690756337717,7.2289512574207,8.86141493031755,8.48301642108709,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
6854338.80613026,11.0236328043975,10.9903640022967,10.0356395298149,7.79078276036307,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1
4071833.76419397,12.2454796286765,8.33075418067165,7.53288391022943,12.7599663485307,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3904759.71286508,10.7726548376959,10.8961270991713,12.737253385596,10.2071047369391,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
2382010.47927135,9.20347946160473,10.9397827938665,8.02778656873852,11.3618857129477,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
344467.758748944,8.05560100264847,11.177234265022,6.40144127816893,9.60569131770171,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
1149075.32880406,12.1917006459553,6.21806880435906,8.02284488803707,12.075099597685,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
4374852.32552759,12.0919176812749,8.04395218379796,12.2399231640156,12.8016485448461,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1
1645743.48215283,8.34966481244192,8.00034425733611,10.4446319488343,11.7913822708651,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1
566762.900259797,6.34787972085178,8.85468911775388,8.46175556746311,9.47726358566433,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
1559565.98756533,8.91465998254716,11.5607132646255,8.52099276799709,7.28294887649827,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
874449.885790196,8.63686127983965,8.42906083329581,6.44548548804596,7.76220899098553,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
432526.7224112,6.46205509826541,8.61831648275256,7.56130679626949,7.8000904484652,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0
1665600.35801857,8.99266753997654,7.12398530822247,7.28711435804144,10.631712824339,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1
3969533.02590854,11.4338000295684,9.73235258995555,9.08958284277469,8.44020975381136,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
1985324.26232683,12.5049872947857,8.65627553733066,8.30759717314504,7.12741650943644,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
4169588.89846949,8.06053346022964,10.0769468622748,7.71728839399293,9.98156723426655,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0
1776354.5133453,7.35290984902531,12.8525811608415,11.3203407388646,11.5382510307245,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0
843842.108922694,11.5566649977118,10.2463905583136,12.9406871434767,11.4244542364031,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1
5189614.46853339,12.5567427438218,10.267597468337,9.22501372313127,8.82721308874898,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0
1985308.39934126,9.80214027571492,12.2941003218293,10.2136982786469,6.56343969795853,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
2021024.19380134,11.9786950820126,7.8620867440477,9.00986104155891,8.87747432221659,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0
1217573.0053201,8.32419313909486,12.4145578811876,11.0157289570197,6.30035385722294,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0
2534769.87833572,11.9395816265605,8.74680449673906,11.5055456571281,12.1843199967407,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
2583740.76217306,10.4545667227358,11.0954962398391,8.84022313519381,6.15372617240064,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
3689132.18759152,11.5971362891141,12.6602554232813,10.928672426613,7.4744914083276,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1
5333902.94865685,11.5219337320887,9.35331536945887,9.55843523726799,9.37200628267601,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1
2295823.71778689,10.1011745096184,8.50680671911687,6.26829424710013,8.4833385408856,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1
1686133.12190834,11.742217680905,12.2415478886105,9.73962391447276,10.5526836682111,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1
268456.686766437,7.75437203608453,10.0498376914766,9.41367720393464,11.7407823179383,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
1866925.54489821,12.6659339854959,8.04373261029832,8.5914097300265,12.4979133114684,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
1376878.45837548,9.86921183974482,10.5889347570483,7.59051271365024,11.7699195418973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
901814.287260033,11.9136042983737,9.7576562196482,12.5843452448025,6.6624409025535,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0
1819931.90015107,9.30209455173463,9.59655962185934,7.33419982134365,12.1138498848304,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
914169.195974093,6.82348571787588,11.7140043938998,9.34279859042726,11.2560022515245,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
1751343.31552593,7.21042842697352,10.5451721530408,11.975143794436,9.9029934743885,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1900285.32518232,9.17511560418643,9.20343727385625,8.12400361988693,6.01934293843806,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1194918.51601716,7.07368182344362,6.26966576045379,10.4294606591575,10.4201050365809,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
650465.545011669,6.69994823937304,8.6268861729186,8.23544646496885,6.93063100124709,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
1134100.42382412,10.2733192548621,12.073438542895,8.08759285486303,10.8764298406895,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
794908.111235729,9.13393365172669,12.4948981187772,10.0755992094055,7.15232838387601,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
2566224.46126697,10.9493411930744,9.58555303467438,9.90677621029317,7.1880867863074,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0
1941786.79668078,9.35674540209584,6.72798006772064,9.6054812183138,10.8185263483319,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
1192939.96699721,9.86442582914606,10.4265669349115,11.4401698091533,7.12666500522755,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
2058880.73603162,6.6748334269505,9.8742263650056,8.04652520618401,9.63297164347023,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1
267304.647833634,10.2767800877336,12.3766692525242,12.1243112599477,10.3315432779491,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2946536.23213188,8.52019277680665,12.5211693106685,9.71790814376436,10.0584383301903,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
890693.988503884,8.69404788687825,6.36872312682681,10.9140692397486,8.458262283355,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
269053.043957682,7.19185122102499,9.87288425839506,8.62967036711052,8.79034069017507,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
392103.965292778,6.64768920047209,7.62886445573531,10.3044037437066,10.2619916398544,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1
1214407.27731352,10.1293149699923,10.8257497204468,6.56294474611059,10.0888537182473,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
3060725.68052941,12.8638144047,8.03113956004381,9.52749862638302,9.80922691128217,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
1897579.31395106,12.3030544982757,10.3569066843484,9.69184274692088,12.5242179878987,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
2566184.38837882,10.1697386740707,6.16066735191271,6.36616303375922,6.47943689231761,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1
4321276.7295985,12.520579014672,7.25138455885462,11.8348290217109,11.5095748275053,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1
1552351.64353479,8.54455711506307,10.3191469511949,12.4708357900381,12.3101684837602,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0
356759.529032306,6.75382757303305,11.3075286562089,8.22565282974392,10.2926608992275,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
592549.634931544,7.84857125300914,9.59831086895429,12.497636036016,7.48996773734689,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
1878493.02095563,7.19835967826657,10.1941570683848,8.78338323370554,7.37644621706568,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
3808165.4334542,10.2823134367354,6.9770996873267,10.8675085538998,11.1839641684201,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1
2106635.05352636,11.8048513219692,10.6776808688883,7.10248235869221,11.0293403300457,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1
696763.917299539,9.83868086198345,8.61159630608745,6.20374616072513,11.0470921653323,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
606855.510711012,10.4588171453215,8.78502807510085,6.29255995713174,6.57269644620828,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0
1450044.18260928,11.0009404423181,10.3833918236196,11.1879502106458,6.89781207032502,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2875287.41858233,7.78346063778736,10.1682432638481,9.71522251912393,10.746902220184,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
2463111.43304594,11.0073316621128,12.8570895928424,12.8606277897488,8.96095805801451,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2144216.16141234,9.15261365496553,10.5959237830248,6.37644851603545,8.1063649491407,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
754636.765869352,9.24737328849733,12.7056331424974,7.82538109994493,11.4176268847659,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
2751984.94102259,12.8468870013021,12.5305221576709,9.64699979429133,11.8021462357137,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0
1226629.09010473,10.1380290682428,9.64086678111926,10.3795268358663,9.89953919989057,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0
887172.84516176,6.54907948873006,12.9821813439485,10.5337935639545,12.7178005259484,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
4043330.79978635,11.4196177520789,9.58349721436389,11.7921848958358,9.16425404441543,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
2181980.67190111,8.67197231505997,10.5871105464175,12.3241451487411,7.81797717371956,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
3958051.18238448,11.6422604140826,10.6686213754583,11.9423473011702,6.07149723405018,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0
1886116.86579204,11.6414738737512,8.70875068963505,8.27045632293448,9.24664284964092,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0
2033235.76851735,11.5932829985395,8.07446989323944,11.3467874519993,11.9324342461769,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1354944.84017343,8.06007039733231,6.91428942489438,8.9170125904493,11.3700091321953,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
506403.552275231,6.27097231266089,8.61308683175594,10.6087480012793,11.7570404461585,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
3554933.3530695,10.8374616228975,8.0233196595218,11.943372544134,6.77393745165318,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0
2101443.55260686,11.2699694815092,10.17597029428,10.8886434880551,9.2809030727949,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4406189.74348794,10.9461311332416,9.25087667745538,8.08120646094903,6.25024123676121,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
2291478.81663262,12.1431127577089,8.62308089016005,10.8934140854981,8.520819862606,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
432786.554042629,8.35172806633636,10.2107501788996,10.015829123091,10.9414320683572,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
3247827.99587839,6.80466992990114,9.60953698889352,7.03658571653068,11.0465852587949,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0
3347628.63764897,7.8526202191133,12.9432992227376,8.61736183031462,7.07233465299942,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1
5116254.61196854,12.9959541223943,8.98420503293164,12.7208609280642,10.8329812921584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1297935.2656876,12.6029362406116,11.9415031909011,7.08332715043798,11.6849046230782,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
76827.3080697968,7.74722952558659,11.5036126743071,8.1955511320848,6.27512078383006,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
2154678.55871429,10.537738497369,8.78291858010925,12.0241323627997,9.50348650407977,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
245480.939784186,6.78805171861313,12.2508367653936,8.29234142322093,7.97595529258251,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1210104.03669198,10.4193513386417,9.38600280694664,12.0301275653765,12.9605960757472,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1
1947919.12805461,8.36824533995241,7.2399743758142,6.55457253893837,12.178258351516,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1225413.57731219,10.5780374505557,11.5116800083779,7.82753074215725,11.5735375138465,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
2196384.93389343,8.00094192661345,11.8962414280977,10.7649209147785,11.0935571175069,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0
1772797.62771972,6.5838316665031,8.31978770322166,11.367540941108,12.5086854808033,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
1236945.55934918,6.47703310661018,7.79922427539714,12.0287598168943,9.016203019768,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1
4491371.68498384,10.5782179117668,9.20984176034108,10.1845406494103,6.26199469296262,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
610360.415509894,6.82814471866004,6.9081322888378,7.29558408516459,10.5628259305377,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1
1231166.30815833,6.19043328985572,10.7508374007884,6.13501666788943,7.73552890471183,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
363381.676412666,7.63505049492233,6.3433863662649,9.45543485088274,12.5686460060533,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
204154.380990922,6.24273418891244,9.92432815697975,8.80461938260123,11.3698917480651,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0
645788.132572075,7.7281546134036,10.9117599669844,10.5579566641245,7.9149243736174,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2094177.80953923,9.90398297877982,9.97772757546045,9.35336723830551,11.1199467903934,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
493641.63251004,7.6784428881947,9.08639081032015,7.33372271270491,7.83540783450007,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3359880.29850284,11.4699624988716,9.84586720145307,7.89757282240316,7.48690615361556,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1
1119397.13779359,11.6735348040238,9.89968440169469,9.71423232532106,6.91257768776268,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
135895.006368058,6.73362809699029,10.8405035168398,7.59774175425991,10.9605081279296,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0
1496322.49482621,8.13550227414817,6.71212872001342,10.4308732096106,6.87944335187785,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
3685654.94151086,7.62661990616471,9.28236112277955,12.8775408344809,12.8830236494541,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1
626855.728072312,6.68467300012708,11.0786575309467,10.984844210092,7.99363345699385,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
464742.345992426,6.30250329407863,7.39638805529103,9.41009434359148,6.36057425639592,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0
1428963.2152394,9.18475954746827,12.1407207425218,12.0479737555142,6.83996543730609,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
1648159.65051436,8.62175771221519,8.94350282126106,10.6216301154345,7.85481755295768,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
2977991.2797889,11.6860475924332,8.06330284755677,10.8072136347182,10.8281793810893,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
608300.945259706,8.72735202498734,9.54521638061851,6.83066032105125,7.95896234293468,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1420018.2359251,9.54760065092705,8.4134295496624,6.32141857245006,11.356118778931,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0
8462523.31286927,11.2987239060458,10.9939874140546,8.41681690234691,10.8238829798065,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
3843502.91039546,11.4679642322008,6.61460748477839,9.26929696486332,9.80861232616007,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
285790.217398193,7.65525685204193,7.68043593456969,12.761915926123,7.25083751650527,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
3393102.71040438,9.70355398766696,10.8233459999319,8.98624584916979,6.40979290893301,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
3905746.92832744,9.56400275207125,9.96580253727734,12.9739919318818,9.16064372821711,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
142945.050933093,6.15348087227903,9.91212881286629,6.625215949025,10.5438063929323,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2022561.00990972,8.79844224546105,10.9918313210364,8.4942889988888,12.417188064428,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
2163691.52539166,7.09759206767194,12.3246149003971,6.22783013177104,6.84437176631764,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0
565626.956524619,12.3919737485703,8.51592506188899,6.9356917203404,8.70843087276444,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0
1862070.5930047,9.06753168720752,12.3889964637347,11.4213755151723,12.8109990693629,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2405811.49842993,11.0938081936911,6.96800464927219,11.1910749285016,7.87284918501973,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
1514624.93278421,11.7821192902047,9.17522031976841,11.5135002536699,6.66900969715789,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1
3125780.984111,8.95915758726187,9.01088934694417,11.1113122596871,10.2922405684367,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5921190.58140708,12.5883492084686,6.70650785649195,7.69264939776622,9.00693825935014,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1
1280353.08997491,7.59634740068577,10.496636221651,6.30143103422597,9.99358495348133,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1
1549673.54023848,12.0284141250886,6.21784612769261,9.26096538081765,6.42611528118141,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
2455921.17152471,9.4929974465631,7.55758572439663,7.19940607622266,7.369747932069,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
1529423.55217664,12.2213130765595,8.98744970187545,8.39730618265457,6.74957246147096,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0
2102300.26100398,11.6280787542928,9.98552778782323,12.7446001933422,11.8600102670025,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
334615.780971959,8.37784075876698,10.3492488851771,11.6762277188245,11.1686706475448,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0
2198508.50348272,10.8055341483559,8.38228797982447,8.12852753186598,12.6238112633582,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
2763325.13785669,9.13674831693061,12.8067026126664,7.64041253738105,7.52692971378565,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1
81748.7641590308,6.95751403365284,12.4482393783983,8.3648538866546,6.05064551765099,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0
682762.7816166,9.08361546276137,12.0153011917137,12.6987252666149,12.6613673609681,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
3394126.37772726,11.9484079310205,8.6680293797981,9.06248996849172,10.678327589063,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5271368.78857771,11.5689604715444,6.8308084581513,10.454598685028,7.50677176867612,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0
1351273.15404693,6.04821166186593,12.0318832944613,11.2759291280527,11.2607717292849,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1
840538.969428037,9.15621662884951,10.8484000104945,11.37825751747,8.00647989939898,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
2389899.02790613,10.8594494634308,10.7660793054383,10.914780454943,12.5791184916161,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
2445591.2681874,12.2712213182822,6.7094993875362,12.3924549985677,9.21533098374493,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1
977957.640366085,7.53742645261809,9.31999265635386,10.7602287260816,10.2962271664292,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
506905.853606615,6.07148565910757,6.20208632340655,6.0469870371744,7.93167307926342,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
5544714.62128951,12.1550208001863,10.069114922313,9.56674514641054,7.45883369073272,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
352774.717527508,7.83555993856862,10.9249558530282,11.3828225529287,9.24282941455022,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
